,artist_name,release_date,track_name,track_id,popularity
0,Post Malone,2018-12-14,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,90
1,Travis Scott,2018-08-03,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,89
2,Lil Baby,2018-10-05,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,86
3,Juice WRLD,2018-12-10,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,88
4,YNW Melly,2018-08-03,Murder On My Mind,7eBqSVxrzQZtK2mmgRG6lC,86
5,A Boogie Wit da Hoodie,2018-12-21,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,87
6,Meek Mill,2018-11-30,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc,86
7,Joji,2018-10-26,SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d,86
8,Billie Eilish,2018-04-19,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,90
9,Post Malone,2018-04-27,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,89
10,Marshmello,2018-08-17,Happier,2dpaYNEQHiRxtZbfNsse99,90
11,Post Malone,2018-04-27,Better Now,7dt6x5M1jzdTEt8oCbisTK,88
12,XXXTENTACION,2018-03-16,SAD!,3ee8Jmje8o58CHK66QrVC2,87
13,Luke Combs,2018-06-01,Beautiful Crazy,2rxQMGVafnNaRaXlRMWPde,82
14,Halsey,2018-10-04,Without Me,5p7ujcrUXASCNwRaWNHR1C,89
15,Lil Mosey,2018-10-19,Noticed,7zLYKWcXnYeHHWidalz7rj,84
16,Khalid,2018-10-18,Better,6zeeWid2sgw4lap2jV61PZ,83
17,Juice WRLD,2018-12-10,All Girls Are The Same,4VXIryQMWpIdGgYR4TrjT1,83
18,Morgan Wallen,2018-04-27,Whiskey Glasses,6foY66mWZN0pSRjZ408c00,81
19,XXXTENTACION,2018-03-16,Moonlight,0JP9xo3adEtGSdUEISiszL,87
20,Lil Baby,2018-05-18,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,82
21,Ski Mask The Slump God,2018-11-30,Faucet Failure,1ThmUihH9dF8EV08ku5AXN,82
22,21 Savage,2018-12-21,a lot,2t8yVaLvJ0RenpXUIAC52d,83
23,Juice WRLD,2018-12-10,Armed And Dangerous,5wujBwqG7INdStqGd4tRMX,82
24,Panic! At The Disco,2018-06-22,High Hopes,1rqqCSm0Qe4I9rUvWncaom,87
25,A Boogie Wit da Hoodie,2018-12-21,Look Back at It,3Ol2xnObFdKV9pmRD2t9x8,83
26,Kodak Black,2018-12-14,ZEZE,0FZ4Dmg8jJJAPJnvBIzD9z,84
27,City Girls,2018-11-16,Act Up,3A2yGHWIzmGEIolwonU69h,81
28,Post Malone,2018-04-27,Psycho (feat. Ty Dolla $ign),3swc6WTsr7rl9DqQKQA55C,85
29,Drake,2018-06-29,Nonstop,0TlLq3lA83rQOYtrqBqSct,84
30,Travis Scott,2018-08-03,BUTTERFLY EFFECT,2cYqizR4lgvp4Qu6IQ3qGN,86
31,Flipp Dinero,2018-09-04,Leave Me Alone,14mHfNsSHN0FbLftyjrV9g,82
32,XXXTENTACION,2018-03-16,changes,7AFASza1mXqntmGtbxXprO,86
33,Drake,2018-06-29,God's Plan,6DCZcSspjsKoFjzjrWoCdn,86
34,Dan + Shay,2018-06-22,Speechless,3GJ4hzg4lrGwU51Y3VARbF,80
35,Sheck Wes,2018-10-05,Mo Bamba,1xzBco0xcoJEDXktl7Jxrr,83
36,benny blanco,2018-07-12,Eastside (with Halsey & Khalid),0d2iYfpKoM0QCKvcLCkBao,86
