,artist_name,release_date,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,J. Cole,2014-12-09,No Role Modelz,62vpWI1CHwFy7tMIcSStl8,83,0.302,0.696,292987,0.521,0.0,10,0.0565,-8.465,0,0.332,100.0,4,0.458
1,Vance Joy,2014-09-09,Riptide,3JvrhDOgAt6p7K8mDyZwRd,79,0.431,0.484,204280,0.731,0.0,1,0.151,-6.694,1,0.0379,101.654,4,0.51
2,Hozier,2014-09-19,Take Me to Church,1CS7Sd1u5tWkstBhpssyjP,77,0.634,0.566,241693,0.664,0.0,4,0.116,-5.303,0,0.0464,128.945,4,0.437
3,J. Cole,2014-12-09,Wet Dreamz,6Ius4TC0L3cN74HT7ENE6e,79,0.0752,0.504,239320,0.705,0.0,6,0.128,-8.205,0,0.364,175.483,4,0.584
4,Sam Smith,2014-01-01,Stay With Me,5Nm9ERjJZ5oyfXZTECKmRt,85,0.588,0.418,172724,0.42,6.39e-05,0,0.11,-6.444,1,0.0414,84.094,4,0.184
5,WALK THE MOON,2014-12-02,Shut Up and Dance,0kzw2tRyuL9rzipi5ntlIy,82,0.00701,0.578,199080,0.866,0.0,1,0.257,-3.804,1,0.0619,128.038,4,0.619
6,Ty Dolla $ign,2014-06-10,Or Nah - Remix,7t2bFihaDvhIrd2gn2CWJO,79,0.22,0.805,242983,0.33,0.0,1,0.105,-8.712,0,0.1,121.97,4,0.211
7,Alex & Sierra,2014-10-06,Little Do You Know,1almCHdsfikRPfVB9VrEdT,81,0.746,0.5,185200,0.292,0.0,0,0.188,-8.554,1,0.0323,145.879,4,0.37
8,James Bay,2014-12-15,Let It Go,13HVjjWUZFaWilh2QUJKsP,75,0.818,0.546,260533,0.311,1.65e-05,1,0.107,-10.396,1,0.0288,147.464,4,0.246
9,Sam Smith,2014-01-01,I'm Not The Only One,7795WJLVKJoAyVoOtCWqXN,84,0.529,0.677,239317,0.485,2.04e-05,5,0.0766,-5.795,1,0.0361,82.001,4,0.493
10,OneRepublic,2014-01-01,Counting Stars,6sy3LkhNFjJWlaeSMNwQ62,74,0.0654,0.664,257840,0.705,0.0,1,0.115,-4.972,0,0.0382,122.017,4,0.477
11,Ed Sheeran,2014-06-21,Thinking out Loud,34gCuhDGsG4bRPIf9bb02f,84,0.474,0.781,281560,0.445,0.0,2,0.184,-6.061,1,0.0295,78.998,4,0.591
12,Labrinth,2014-11-21,Jealous,4L2K7JKseFCBoHMZEAszW0,81,0.873,0.435,287693,0.155,0.0,1,0.107,-8.948,1,0.046,128.532,3,0.0935
13,Ariana Grande,2014-11-24,Santa Tell Me,0lizgQ7Qw35od7CYaoMBZb,79,0.0545,0.506,204093,0.628,0.0,7,0.301,-7.316,1,0.173,191.708,4,0.556
14,JAY Z,2014-12-09,Ni**as In Paris,2KpCpk6HjXXLb7nnXoXA5O,73,0.0763,0.757,219320,0.882,0.0,1,0.251,-6.125,1,0.248,140.047,4,0.684
15,Milky Chance,2014-06-20,Stolen Dance,6vECYJHxYmm3Ydt3fF01pE,73,0.41,0.887,313684,0.584,0.000314,11,0.101,-8.798,1,0.0381,114.016,4,0.677
16,J. Cole,2014-12-09,G.O.M.D.,16qYlQ6koFxYVbiJbGHblz,76,0.331,0.889,301133,0.393,8.67e-06,4,0.283,-10.821,0,0.267,128.065,4,0.304
17,Ariana Grande,2014-08-25,One Last Time,7xoUc6faLbCqZO6fQEYprd,82,0.093,0.628,197267,0.593,1.65e-06,8,0.096,-5.036,1,0.0323,125.026,4,0.104
18,Ed Sheeran,2014-06-21,Photograph,1HNkqx9Ahdgi1Ixy2xkKkL,85,0.607,0.614,258987,0.379,0.000464,4,0.0986,-10.48,1,0.0476,107.989,4,0.201
19,Aaron Smith,2014-11-07,Dancin (feat. Luvli) - Krono Remix,6WkJ2OK163XXS2oARUC9JM,85,0.101,0.72,198053,0.741,1.41e-05,10,0.289,-6.529,0,0.0287,119.896,4,0.357
20,Sam Hunt,2014-10-27,House Party,1TwLKNsCnhi1HxbIi4bAW0,73,0.113,0.747,190240,0.861,0.0,8,0.026,-5.251,1,0.0514,103.966,4,0.859
21,Childish Gambino,2014-10-03,Sober,5NhlpQ6BOIz3S5welptk1W,74,0.124,0.707,252026,0.562,1.58e-05,0,0.561,-7.621,1,0.0305,98.094,4,0.418
22,A Great Big World,2014-01-17,Say Something,6Vc5wAMmXdKIAM7WUoEb7N,79,0.857,0.407,229400,0.147,2.89e-06,2,0.0913,-8.822,1,0.0355,141.284,3,0.0765
23,G-Eazy,2014-06-20,I Mean It (feat. Remo),6jmTHeoWvBaSrwWttr8Xvu,75,0.125,0.712,236480,0.562,0.0,10,0.136,-6.008,1,0.129,140.0,4,0.142
24,Avicii,2014-01-01,The Nights,0ct6r3EGTcMLPtrXHDvVjc,82,0.0166,0.527,176658,0.835,0.0,6,0.249,-5.298,1,0.0433,125.983,4,0.654
25,Mac DeMarco,2014-04-01,Chamber Of Reflection,1MJ5f5EYBC92ADD6xcz7nb,74,0.263,0.537,231724,0.558,0.91,11,0.102,-8.678,1,0.0929,131.037,4,0.505
26,American Authors,2014-01-01,Best Day Of My Life,5Hroj5K7vLpIG4FNCRIjbP,77,0.0629,0.673,194240,0.902,0.000174,2,0.0552,-2.378,1,0.0347,100.016,4,0.521
