,Unnamed: 0,artist_name,release_date,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,0,XXXTENTACION,2017-08-25,Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,87,0.469,0.872,119133,0.391,4.13e-06,0,0.297,-9.144,0,0.242,134.021,4,0.437
1,1,Granular,2017-10-13,White Noise - 500 hz,65rkHetZXO6DQmBh3C2YtW,84,0.923,0.0,147097,4.98e-05,0.297,10,0.11,-32.354,0,0.0,0.0,0,0.0
2,2,XXXTENTACION,2017-08-25,Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2,85,0.0172,0.797,146520,0.533,0.000152,0,0.103,-9.74,0,0.0412,131.036,4,0.329
3,3,Lil Uzi Vert,2017-08-25,XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,85,0.00264,0.732,182707,0.75,0.0,11,0.109,-6.366,0,0.231,155.096,4,0.401
4,4,Offset,2017-10-30,Ric Flair Drip (& Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,83,0.149,0.88,172800,0.428,5.07e-05,9,0.114,-8.28,1,0.206,100.007,4,0.333
5,5,Frank Ocean,2017-03-10,Chanel,6Nle9hKrkL1wQpwNfEkxjh,82,0.874,0.776,210285,0.503,0.0,0,0.112,-5.732,0,0.237,110.134,4,0.473
6,6,Khalid,2017-04-27,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,84,0.199,0.798,202547,0.539,1.66e-05,1,0.165,-6.351,1,0.0421,136.949,4,0.394
7,7,Kendrick Lamar,2017-04-14,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,85,0.000282,0.908,177000,0.621,5.39e-05,1,0.0958,-6.638,0,0.102,150.011,4,0.421
8,8,Billie Eilish,2017-12-22,idontwannabeyouanymore,41zXlQxzTi6cGAjpOXyLYH,85,0.737,0.483,203569,0.412,0.0,7,0.116,-8.461,1,0.0402,170.163,3,0.247
9,9,Granular,2017-10-13,White Noise - 145 hz,6H4B9gJD6eQlNoEh8q85pP,82,0.944,0.0,135484,2.03e-05,0.869,2,0.112,-40.449,0,0.0,0.0,0,0.0
10,10,Khalid,2017-04-27,Location,152lZdxL1OR0ZMW6KquMif,83,0.33,0.736,219080,0.449,0.000162,1,0.0898,-11.462,0,0.425,80.126,4,0.326
11,11,Kendrick Lamar,2017-04-14,LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As,82,0.264,0.8,213400,0.585,0.0,10,0.153,-7.343,1,0.0924,126.058,4,0.779
12,12,Luke Combs,2017-06-02,Hurricane,6xHI9KjUjYT0FPtGO8Mxa1,79,0.0153,0.464,222533,0.813,0.0,10,0.254,-6.185,1,0.0416,75.975,4,0.516
13,13,Rex Orange County,2017-01-25,Best Friend,47Bg6IrMed1GPbxRgwH2aC,82,0.395,0.575,262231,0.714,0.0,6,0.115,-5.247,1,0.0596,144.982,4,0.32
14,14,Imagine Dragons,2017-06-23,Believer,0pqnGHJpmpxLKifKRmU6WP,89,0.0622,0.776,204347,0.78,0.0,10,0.081,-4.374,0,0.128,124.949,4,0.666
15,15,XXXTENTACION,2017-08-25,Everybody Dies In Their Nightmares,3GVkPk8mqxz0itaAriG1L7,83,0.847,0.734,95467,0.57,2.14e-05,7,0.112,-7.066,0,0.133,129.953,4,0.689
16,16,NF,2017-10-06,Let You Down,52okn5MNA47tk87PeZJLEL,84,0.298,0.656,212120,0.721,0.0,5,0.173,-5.665,0,0.122,148.066,4,0.468
17,17,Lee Brice,2017-11-03,Rumor,56eGOeSsqdg3FLxdo83TwV,78,0.749,0.655,198440,0.56,0.0,9,0.115,-6.857,1,0.0486,140.975,4,0.599
18,18,Kane Brown,2017-10-06,Heaven,1HXy5I3HTWq8OvxCn0z7G7,79,0.263,0.677,179507,0.556,0.0,9,0.105,-6.544,1,0.0306,80.009,4,0.521
19,19,Luke Combs,2017-06-02,When It Rains It Pours,1mMLMZYXkMueg65jRRWG1l,79,0.013,0.551,240760,0.801,6.03e-06,6,0.265,-5.069,1,0.0303,128.027,4,0.625
20,20,Lil Uzi Vert,2017-11-17,20 Min,0uxSUdBrJy9Un0EYoBowng,79,0.109,0.773,220587,0.75,0.0,8,0.174,-4.009,0,0.117,123.426,4,0.783
21,21,Imagine Dragons,2017-06-23,Thunder,1zB4vmk8tFRmM9UULNzbLB,87,0.00671,0.605,187147,0.822,0.134,0,0.147,-4.833,1,0.0438,167.997,4,0.288
22,22,Lil Uzi Vert,2017-08-25,The Way Life Goes (feat. Oh Wonder),2eAZfqOm4EnOF9VvN50Tyc,79,0.617,0.703,221747,0.757,0.0,1,0.106,-3.612,1,0.05,82.008,4,0.696
23,23,Ed Sheeran,2017-03-03,Perfect,0tgVpDi06FyKpA1z0VMD4v,88,0.163,0.599,263400,0.448,0.0,8,0.106,-6.312,1,0.0232,95.05,3,0.168
24,24,Sam Hunt,2017-02-01,Body Like A Back Road,7mldq42yDuxiUNn08nvzHO,79,0.463,0.731,165387,0.469,1.04e-06,5,0.103,-7.226,1,0.0326,98.963,4,0.631
25,25,A Boogie Wit da Hoodie,2017-09-29,Drowning (feat. Kodak Black),1f5cbQtDrykjarZVrShaDI,79,0.501,0.839,209269,0.81,0.0,5,0.117,-5.274,0,0.0568,129.014,4,0.814
26,26,Bebe Rexha,2017-08-11,Meant to Be (feat. Florida Georgia Line),7iDa6hUg2VgEL1o1HjmfBn,82,0.047,0.643,163870,0.783,0.0,10,0.083,-6.458,1,0.0856,154.084,4,0.579
27,27,"Tyler, The Creator",2017-07-21,See You Again,7KA4W4McWYRpgf0fWsJZWB,80,0.371,0.558,180387,0.559,7.49e-06,6,0.109,-9.222,1,0.0959,78.558,4,0.62
