,artist_name,track_name,track_id,popularity
0,Travis Scott,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,99
1,Post Malone,Circles,21jGcNKet2qwijlDFuPiPb,100
2,Juice WRLD,Bandit (with YoungBoy Never Broke Again),6Gg1gjgKi2AK4e0qzsR7sd,94
3,Selena Gomez,Lose You To Love Me,1HfMVBKM75vxSfsQ5VefZ5,98
4,YNW Melly,223's (feat. 9lokknine),4sjiIpEv617LDXaidKioOI,92
5,blackbear,hot girl bummer,7aiClxsDWFRQ0Kzk5KI5ku,96
6,Lizzo,Truth Hurts,5qmq61DAAOUaW8AUo8xKhh,93
7,Lewis Capaldi,Someone You Loved,7qEHsqek33rTcFNT9PFqLf,96
8,Maroon 5,Memories,2b8fOow8UzyDFAE27YhOZM,99
9,Dan + Shay,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,96
10,Kanye West,Follow God,2QpGZOhTCHHiKmpSO9FW4h,93
11,NLE Choppa,Camelot,4sWuPniHClkInYAnzXAYUF,90
12,Drake,Money In The Grave (Drake ft. Rick Ross),5ry2OE6R2zPQFDO85XkgRb,92
13,Young Thug,Hot (feat. Gunna),5Z8HZM6iQMhhqyPcCGY5g9,90
14,Harry Styles,Lights Up,2plLJpUcYPFrl1sW2pMG63,95
15,Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),7CZyCXKG6d5ALeq41sLzbw,92
16,Post Malone,Goodbyes (feat. Young Thug),0t3ZvGKlmYmVsDzBJAXK8C,94
17,Lil Tecca,Ransom,1lOe9qE0vR9zwWQAOk6CoO,93
18,DaBaby,VIBEZ,0fySG6A6qLE8IvDpayb5bM,88
19,Billie Eilish,bad guy,2Fxmhks0bxGSBdJ92vM42m,96
20,DaBaby,Suge,2gwkD6igEhQbDQegRCcdoB,88
21,DaBaby,BOP,6Ozh9Ok6h4Oi1wUSLtBseN,88
22,Arizona Zervas,ROXANNE,1ZPWWSwCkxKfqdp4H0RFCo,90
23,Post Malone,Enemies (feat. DaBaby),0Xek5rqai2jcOWCYWJfVCF,89
24,Sam Smith,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,96
25,Post Malone,Saint-Tropez,05mDaV9Vb3wrzjF6OPZnhq,91
26,Lil Nas X,Panini,6fTt0CH2t0mdeB2N9XFG5r,91
27,Chris Brown,No Guidance (feat. Drake),6XHVuErjQ4XNm6nDPVCxVX,89
28,Shawn Mendes,Señorita,0TK2YIli7K1leLovkQiNik,98
29,Young Thug,Bad Bad Bad (feat. Lil Baby),1GeNui6m825V8jP4uKiIaH,87
30,Halsey,Graveyard,6V9fHiv84WlVTg7CSnIVY2,92
31,Y2K,Lalala,51Fjme0JiitpyXKuyQiCDo,96
32,SHAED,Trampoline (with ZAYN),1iQDltZqI7BXnHrFy4Qo1k,93
33,Mustard,Ballin' (with Roddy Ricch),3QzAOrNlsabgbMwlZt7TAY,87
34,Polo G,Pop Out (feat. Lil Tjay),6uFn47ACjqYkc0jADwEdj1,87
35,Selena Gomez,Look At Her Now,4yI3HpbSFSgFZtJP2kDe5m,92
36,YoungBoy Never Broke Again,Make No Sense,6klLvorLoo1sxvZcjJIY8I,85
37,Chance the Rapper,Hot Shower,00ko9WaS4jOX1kEk3gvHjf,86
38,Ed Sheeran,Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,94
39,J. Cole,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,87
40,Camila Cabello,Liar,7LzouaWGFCy4tkXDOOnEyM,94
41,Kanye West,On God,2SasoXZyv82yYgHiVOvxQn,87
42,Post Malone,Hollywood's Bleeding,7sWRlDoTDX8geTR8zzr2vt,89
43,Kanye West,Closed On Sunday,3JWiDGQX2eTlFvKj3Yssj3,87
44,24kGoldn,VALENTINO,0c7K73roy6RW4ebDkf4yGh,87
45,Post Malone,Wow.,7xQAfvXzm3AkraOtGPWIZg,89
46,Lil Tecca,Did It Again,4guBZjUyrGoHsTahO3IHdj,86
47,Kanye West,Selah,39JRmdKFka1Oe09FoOCPI4,87
48,Zedd,Good Thing (with Kehlani),5aUSEPNd3m5xliFK4pn5mU,89
49,Quality Control,Baby,2nKYHpmwjLaEOXS3o7QMiz,85
50,Lil Nas X,Panini - DaBaby Remix,4SDgTLDYrJ2UrHbkRkg7MD,86
51,Tones and I,Dance Monkey,2XU0oxnq2qxCpomAAuJY8K,96
52,Ali Gatie,It's You,6moU77g9RQyMzHNuKEaQKq,93
53,Kanye West,Everything We Need,24bnCCysWnbNRNUT4LpHcP,87
54,Ellie Goulding,Hate Me (with Juice WRLD),6kls8cSlUyHW2BUOkDJIZE,89
55,Young Thug,Hot (Remix) [feat. Gunna and Travis Scott],56AMYGJzxBO6p8v0wEe9de,85
56,Normani,Motivation,0rIAC4PXANcKmitJfoqmVm,90
57,Diplo,Heartless (feat. Morgan Wallen),0rFQ5cKYJ9WtHSKp9sxVYt,86
58,Taylor Swift,Lover,1dGr1c8CrMLDpV6mPbImSI,90
59,Kanye West,Use This Gospel,0oPOuDmmkVp3h6puekhs6P,86
60,Ariana Grande,boyfriend (with Social House),0Ryd8975WihbObpp5cPW1t,90
61,Young Thug,The London (feat. J. Cole & Travis Scott),7DcvwMAiqKJQD1rrdfxSDx,87
62,Bazzi,I.F.L.Y.,4a6q8CR2hzLk2plDkSxkfD,90
63,Billie Eilish,when the party's over,43zdsphuZLzwA9k4DJhU0I,90
64,Post Malone,On The Road (feat. Meek Mill & Lil Baby),12Fkyg9lpmaz2zmKOfw2Y2,87
65,Post Malone,Die For Me (feat. Future & Halsey),2C6WXnmZ66tHhHlnvwePiK,87
66,NLE Choppa,Shotta Flow (Feat. Blueface) [Remix],67XyC1GdSkKb9sbRRkUDXS,85
67,Megan Thee Stallion,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),5N1o6d8zGcSZSeMFkOUQOk,85
68,Lil Tjay,F.N,0RLLvYBopDwooCyvnTwgYu,83
69,"Tyler, The Creator",EARFQUAKE,5hVghJ4KaYES3BFUATCYn0,85
70,Lil Uzi Vert,Sanguine Paradise,3XiNC94b4Tq1xwv70sQJGN,84
71,Mustard,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",2zjGJ0dChMR0KxBZS15aqo,85
72,The Chainsmokers,Takeaway,6wo37KVqFJhtuxPTpLCcfe,92
73,Juice WRLD,Robbery,6Hj9jySrnFppAI0sEMCZpJ,85
74,Taylor Swift,You Need To Calm Down,6RRNNciQGZEXnqk8SQ9yv5,88
75,Bad Bunny,Callaita,2TH65lNHgvLxCKXM3apjxI,94
76,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY,88
77,Lil Nas X,Old Town Road - Remix,2YpeDb67231RjR0MgVLzsG,93
78,Lizzo,Good As Hell (feat. Ariana Grande) - Remix,07Oz5StQ7GRoygNLaXs2pd,89
79,Internet Money,Somebody,735RSTb2xbtWbDtKD9XDYi,85
80,Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,93
81,Marshmello,One Thing Right,4hPpVbbakQNv8YTHYaOJP4,88
82,Lil Tecca,Ransom (with Juice WRLD) - Remix,2WsuSYJNXGKXVYkHPnq2yp,85
83,Kanye West,God Is,6xRWoYwfwIKnT8bQGzKbxR,85
84,DaBaby,INTRO,77KMttn3Lic7ZQKDlPqp8v,83
